fish_id,common_name,scientific_name,taxonomy,habitat,water_type,threatened_status,description
1,Rohu,Labeo rohita,Cyprinidae,Rivers & Ponds,Freshwater,Least Concern,"Rohu is a freshwater carp widely farmed in South Asia, known for its fast growth and adaptability to ponds and rivers."
2,Catla,Catla catla,Cyprinidae,Rivers,Freshwater,Least Concern,"Catla is a large freshwater carp valued in aquaculture for its rapid growth and high market demand."
3,Tilapia,Oreochromis niloticus,Cichlidae,Lakes & Ponds,Freshwater,Least Concern,"Tilapia is a hardy freshwater fish widely cultivated due to its tolerance to varying water conditions."
4,Common Carp,Cyprinus carpio,Cyprinidae,Rivers & Lakes,Freshwater,Vulnerable,"Common Carp is a versatile freshwater fish commonly farmed worldwide for food and ornamental purposes."
5,Grass Carp,Ctenopharyngodon idella,Cyprinidae,Rivers,Freshwater,Least Concern,"Grass Carp is a herbivorous freshwater fish used in aquaculture and aquatic weed control."
6,Silver Carp,Hypophthalmichthys molitrix,Cyprinidae,Reservoirs,Freshwater,Least Concern,"Silver Carp is a fast-growing freshwater fish that feeds mainly on plankton."
7,Mrigal,Cirrhinus mrigala,Cyprinidae,Rivers,Freshwater,Least Concern,"Mrigal is a bottom-feeding freshwater carp commonly cultured in polyculture systems."
8,Bighead Carp,Hypophthalmichthys nobilis,Cyprinidae,Lakes,Freshwater,Least Concern,"Bighead Carp is a freshwater fish known for its large head and plankton-based diet."
9,Snakehead,Channa striata,Channidae,Ponds,Freshwater,Least Concern,"Snakehead is a predatory freshwater fish capable of surviving in low-oxygen environments."
10,Walking Catfish,Clarias batrachus,Clariidae,Swamps,Freshwater,Near Threatened,"Walking Catfish is a freshwater fish known for its ability to move over land for short distances."
11,Channel Catfish,Ictalurus punctatus,Ictaluridae,Rivers,Freshwater,Least Concern,"Channel Catfish is a popular aquaculture species valued for its mild-flavored meat."
12,Pangasius,Pangasianodon hypophthalmus,Pangasiidae,Rivers,Freshwater,Least Concern,"Pangasius is a freshwater catfish widely farmed for its fast growth and export demand."
13,Butter Catfish,Ompok bimaculatus,Siluridae,Rivers,Freshwater,Near Threatened,"Butter Catfish is a freshwater species appreciated for its soft texture and taste."
14,Yellow Perch,Perca flavescens,Percidae,Lakes,Freshwater,Least Concern,"Yellow Perch is a freshwater fish found in lakes and rivers, popular in recreational fishing."
15,Bluegill,Lepomis macrochirus,Centrarchidae,Ponds,Freshwater,Least Concern,"Bluegill is a small freshwater fish commonly found in ponds and lakes."
16,Peacock Bass,Cichla ocellaris,Cichlidae,Lakes,Freshwater,Least Concern,"Peacock Bass is a large predatory freshwater fish known for its aggressive nature."
17,Atlantic Salmon,Salmo salar,Salmonidae,Rivers & Sea,Marine,Vulnerable,"Atlantic Salmon is a migratory fish widely farmed in marine and freshwater systems."
18,Rainbow Trout,Oncorhynchus mykiss,Salmonidae,Cold Streams,Freshwater,Least Concern,"Rainbow Trout is a cold-water fish commonly farmed in freshwater aquaculture."
